,Date,NERC,Area,Disturbance,Loss,Affected Customers,Restoration Date
2563,2019-10-10 00:00:00,WECC,Colorado,System Operations,19.38439024748377,9019.057142857142,10/10/2019
2564,2019-10-11 00:00:00,RF,Michigan,System Operations,485.892120885498,100242.0985915493,10/11/2019
2565,2019-10-12 00:00:00,TRE,Texas,Transmission Interruption,227.61758764334965,75034.07073954983,10/12/2019
2566,2019-10-15 00:00:00,RF,Ohio,Transmission Interruption,333.98545180267575,33853.63043478261,10/15/2019
2567,2019-10-15 00:00:00,SPPRE,Kansas,System Operations,43.80166576015855,64720.68664502164,10/15/2019
2568,2019-10-16 00:00:00,SPPRE,Texas,Vandalism,101.30079421343446,30902.2,Unknown
2569,2019-10-17 00:00:00,NPCC,Vermont,Severe Weather,72.8917153934307,101683.0,10/19/2019
2570,2019-10-19 00:00:00,MRO,South Dakota,Transmission Interruption,133.27538495011885,10002.0,10/19/2019
2571,2019-10-19 00:00:00,WECC,California,System Operations,492.8332770163392,58512.31137724551,10/19/2019
2572,2019-10-20 00:00:00,TRE,Texas,Severe Weather,227.61758764334965,400000.0,10/25/2019
2573,2019-10-23 00:00:00,NPCC,New York,System Operations,218.33384717844993,54921.72173913044,10/23/2019
2574,2019-10-23 00:00:00,NPCC,New York,System Operations,218.33384717844993,54921.72173913044,10/23/2019
2575,2019-10-23 00:00:00,WECC,California,Transmission Interruption,492.8332770163392,50000.0,Unknown
2576,2019-10-24 00:00:00,RF,Ohio,Transmission Interruption,333.98545180267575,33853.63043478261,10/24/2019
2577,2019-10-24 00:00:00,WECC,California,Fuel Supply Deficiency,492.8332770163392,58512.31137724551,Unknown
2578,2019-10-25 00:00:00,SERC,South Carolina,Suspicious Activity,4598.028909817714,130797.42028985507,10/25/2019
2579,2019-10-26 00:00:00,WECC,California,Transmission Interruption,3190.0,972000.0,10/31/2019
2580,2019-10-26 00:00:00,NPCC,Maine,System Operations,5.698226656772256,16419.975609756097,10/26/2019
2581,2019-10-26 00:00:00,SERC,Louisiana,Severe Weather,120.93986388353828,82124.0,10/26/2019
2582,2019-10-26 00:00:00,SERC,Tennessee,Severe Weather,251.62413084738048,70000.0,Unknown
2583,2019-10-29 00:00:00,MRO,Wisconsin,System Operations,81.56188381985727,27010.277777777777,10/29/2019
2586,2019-11-01 00:00:00,NPCC,New York,System Operations,218.33384717844993,54921.72173913044,11/02/2019
2587,2019-11-01 00:00:00,NPCC,New York,System Operations,218.33384717844993,54921.72173913044,11/02/2019
2588,2019-11-01 00:00:00,NPCC,New York,Severe Weather,218.33384717844993,8000.0,11/03/2019
2589,2019-11-01 00:00:00,NPCC,Vermont,Severe Weather,72.8917153934307,80066.0,11/02/2019
2590,2019-11-01 00:00:00,NPCC,New York,Severe Weather,218.33384717844993,66325.0,Unknown
2591,2019-11-03 00:00:00,MRO,Minnesota,Transmission Interruption,193.87276762299862,26829.72972972973,11/04/2019
2592,2019-11-05 00:00:00,FRCC,Florida,Transmission Interruption,1500.0,202340.86111111112,11/05/2019
2593,2019-11-05 00:00:00,RF,Indiana,Vandalism,419.8182413229467,12165.0,11/05/2019
2594,2019-11-05 00:00:00,WECC,Idaho,Vandalism,68.50671081848073,131.0,11/05/2019
2595,2019-11-08 00:00:00,WECC,Wyoming,System Operations,72.0,96907.52464785209,11/08/2019
2596,2019-11-16 00:00:00,WECC,Oregon,Vandalism,17.359215826019042,4712.045454545455,11/16/2019
2597,2019-11-16 00:00:00,TRE,Texas,Suspicious Activity,227.61758764334965,75034.07073954983,11/16/2019
2598,2019-11-20 00:00:00,WECC,California,Transmission Interruption,178.0,54000.0,11/20/2019
