,Date,NERC,Event,Area,Disturbance,Loss,Affected Customers,Restoration Date
64,2004-09-05 00:00:00,FRCC,1:00 a.m.,"Orlando, Florida",Hurricane Frances,200,65000,2004-09-09 00:00:00
65,2004-09-05 00:00:00,FRCC,7:00 a.m.,"Florida counties of Alachua, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",Hurricane Frances,2100,832898,2004-09-12 00:00:00
66,2004-09-06 00:00:00,SERC,1:00 p.m.,"Florida, Mississippi, Alabama, Georgia",Hurricane Frances,3000,99000,2004-09-09 00:00:00
67,2004-09-07 00:00:00,SERC,10:00 a.m.,Georgia,Hurricane Frances,2200,150000,2004-09-08 00:00:00
68,2004-09-15 00:00:00,PR,12:04 p.m.,Whole Island of Puerto Rico,Hurricane Jeanne,1243,1423590,2004-09-23 00:00:00
69,2004-09-15 00:00:00,SERC,7:00 p.m.,"Florida, Mississippi, Alabama, Georgia",Hurricane Ivan,916,916316,2004-09-17 00:00:00
70,2004-09-16 00:00:00,SERC,2:00 a.m.,"Baldwin County, Alabama, Escambia County, Florida, Washington County, Alabama",Hurricane Ivan,263,75000,2004-09-16 00:00:00
71,2004-09-16 00:00:00,SERC,9:00 p.m.,Western  North and South Carolina,Hurricane Ivan,500,175000,2004-09-20 00:00:00
72,2004-09-17 00:00:00,SERC,4:30 a.m.,Western North Carolina,Hurricane Ivan,400,112000,2004-09-18 00:00:00
73,2004-09-25 00:00:00,FRCC,5:00 p.m.,"City of Fort Pierce, Florida",Hurricane Jeanne,125,26000,2004-09-26 00:00:00
74,2004-09-26 00:00:00,FRCC,2:00 a.m.,"Hillsborough, Pasco, and Polk County, Florida",Hurricane Jeanne,1250,285300,2004-09-27 00:00:00
75,2004-09-26 00:00:00,FRCC,3:00 a.m.,"Orlando and St. Cloud, Florida",Hurricane Jeanne,350,110000,2004-09-30 00:00:00
76,2004-09-26 00:00:00,FRCC,6:00 a.m.,"Florida counties of Alachua, Bay, Brevard, Citrus, Columbia, Dixie, Flagler, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Jefferson, Lafayette, Lake, Leon, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",Hurricane Jeanne,1800,722000,2004-10-01 00:00:00
77,2004-09-27 00:00:00,SERC,8:00 a.m.,Georgia,Hurricane Jeanne,854,85455,2004-09-27 00:00:00
78,2004-09-27 00:00:00,NPCC,4:06 p.m.,Nova Scotia,Switch Error Concerning Breakers,-,-,2004-09-27 00:00:00
79,2004-10-10 00:00:00,PR,5:09 p.m.,Island Wide,Breaker Failure,All,All,2004-10-11 00:00:00
80,2004-10-18 00:00:00,WECC, 10:30 p.m.,Northern California,Severe Storm with High Wind Gusts,140,407440,2004-10-20 00:00:00
81,2004-10-25 00:00:00,SPP,11:00 a.m.,Southeastern Louisiana in the New Orleans area,Public Appeal/Breaker Failure and Fire,-,-,2004-10-26 00:00:00
82,2004-10-28 00:00:00,WECC,3:27 p.m.,"San  Jose, California",Major Transmission Distribution System Interruption,103,59458,2004-10-28 00:00:00
83,2004-10-30 00:00:00,ECAR,10:00 a.m.,"Lower peninsula of Michigan. following area:  Grand Rapids, Kalamazoo, Battle Creek, Greenville, Jackson,  Flint, Lansing, Allegan, Temperance",Severe Storm with High Wind Gusts,60,122000,2004-11-01 00:00:00
84,2004-10-30 00:00:00,ECAR,12:30  p.m.,Southeastern Michigan,High Wind Gusts,700,159870,2004-11-03 00:00:00
85,2004-11-09 00:00:00,NPCC,2:15 p.m.,"Sayreville, New Jersey Long Island, New York",Fuel Supply Deficiency - Williams Company: Event for Trans Continental Gas Pipeline,0,0,2004-11-12 00:00:00
86,2004-11-14 00:00:00,NPCC,4:55 a.m.,Nova Scotia ,"Heavy Snow, High Winds and Rain/Major Distribution System Interruption",165,165000,2004-11-15 00:00:00
87,2004-11-23 00:00:00,ERCOT,10:00 p.m.  ,"Houston, Texas and surrounding suburban areas",Strong Thunderstorms,150,119000,2004-11-24 00:00:00
88,2004-11-24 00:00:00,SERC,10:00 a.m.,Georgia,Strong Thunderstorms,100,83450,2004-11-24 00:00:00
89,2004-12-01 00:00:00, MAAC,10:00 a.m.,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",High Winds,270,122000,2004-12-02 00:00:00
90,2004-12-01 00:00:00,MAAC,7:30 a.m.,"Bucks, Chester, Delaware, Montgomery, and Philadelphia Counties, Pennsylvania",Heavy Rain and Wind Storm,-,105312,2004-12-02 00:00:00
91,2004-12-23 00:00:00,ECAR,3:37 a.m.,Columbus District,Major Freezing Rain and Ice Storm,800,359171,2004-12-31 00:00:00
92,2004-12-27 00:00:00,WECC,7:50 a.m.,"Salinas, California and surrounding communities",Severe Weather/Line Relayed,100,95000,2004-12-27 00:00:00
